run_id,experiment_id,system,variant,workload,array_size,weight_mode,reorder_program,implementation_mode,target_mhz,status,validation_pass,tiles,first_output_cycles,completion_cycles,cycles_per_tile,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason,source
spmw_gemm128_N8_stream_constrained,E4,SPMW port,feather_stream (every operand streamed),"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials",8x8,"constrained (d in [0, 8), zero points 7/5 on the RTL; the same d as int8 on the SPMW port)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (262144/262144 tokens, 0 errors); (no host reduction recorded for this run)",4096,132,65644,16.0,,,,,,,,,143.8,1247.0,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N8_stream_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N8_stream_constrained; run dir /scratch/hc676/e4_spmw/wl_gemm_N8_stream,,previous agent (e4_* dirs)
rtl_fixed_gemm128_N8_feed_constrained,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials; a weight feed per tile (MODE 0)",8x8,"constrained (d in [0, 8), zero points 7/5 on the RTL; the same d as int8 on the SPMW port)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,4096/4096 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,4096,539,2097179,512.0,,,,,,,,,,672.0,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N8_feed_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N8_feed_constrained; run dir /scratch/hc676/e4_rtl_runs/wl_gemm_N8_m0,,previous agent (e4_* dirs)
spmw_gemm128_N8_resident_constrained,E4,SPMW port,feather_stream_x (weights and commands resident),"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials; activations through tile 0's resident weights",8x8,"constrained (d in [0, 8), zero points 7/5 on the RTL; the same d as int8 on the SPMW port)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (262144/262144 tokens, 0 errors)",4096,96,32856,8.0,,,,,,,,,,70.4,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N8_resident_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N8_resident_constrained; run dir /scratch/hc676/e4_spmw/wl_gemm_N8_x,,previous agent (e4_* dirs)
rtl_fixed_gemm128_N8_resident_constrained,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials; one feed, activations through tile 0's resident weights (MODE 1)",8x8,"constrained (d in [0, 8), zero points 7/5 on the RTL; the same d as int8 on the SPMW port)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,4096/4096 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,4096,539,33299,8.0,,,,,,,,,,61.5,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N8_resident_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N8_resident_constrained; run dir /scratch/hc676/e4_rtl_runs/wl_gemm_N8_m1,,previous agent (e4_* dirs)
spmw_gemm128_N16_stream_constrained,E4,SPMW port,feather_stream (every operand streamed),"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials",16x16,"constrained (d in [0, 32), zero points 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (131072/131072 tokens, 0 errors); (no host reduction recorded for this run)",512,384,16720,32.0,,,,,,,,,126.7,1148.8,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N16_stream_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N16_stream_constrained; run dir /scratch/hc676/e4_spmw/wl_gemm_N16_stream,,previous agent (e4_* dirs)
rtl_fixed_gemm128_N16_feed_constrained,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials; a weight feed per tile (MODE 0)",16x16,"constrained (d in [0, 32), zero points 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,512/512 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,512,4141,2097197,4096.0,,,,,,,,,,1835.7,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N16_feed_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N16_feed_constrained; run dir /scratch/hc676/e4_rtl_runs/wl_gemm_N16_m0,,previous agent (e4_* dirs)
spmw_gemm128_N16_resident_constrained,E4,SPMW port,feather_stream_x (weights and commands resident),"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials; activations through tile 0's resident weights",16x16,"constrained (d in [0, 32), zero points 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (131072/131072 tokens, 0 errors)",512,164,8340,16.0,,,,,,,,,,67.4,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N16_resident_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N16_resident_constrained; run dir /scratch/hc676/e4_spmw/wl_gemm_N16_x,,previous agent (e4_* dirs)
rtl_fixed_gemm128_N16_resident_constrained,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials; one feed, activations through tile 0's resident weights (MODE 1)",16x16,"constrained (d in [0, 32), zero points 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,512/512 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,512,4141,12317,16.0,,,,,,,,,,69.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N16_resident_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N16_resident_constrained; run dir /scratch/hc676/e4_rtl_runs/wl_gemm_N16_m1,,previous agent (e4_* dirs)
spmw_conv_N4_stream_constrained,E4,SPMW port,feather_stream (every operand streamed),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks",4x4,"constrained (d in [0, 8), zero points 128/128 on the RTL)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",cosim,300,pass,"SPMW COSIM PASS (3145728/3145728 tokens, 0 errors); (no host reduction recorded for this run)",196608,50,1572902,8.0,,,,,,,,,169.0,1500.4,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N4_stream_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N4_stream_constrained; run dir /scratch/hc676/e4_spmw/wl_conv_N4_stream,,previous agent (e4_* dirs)
rtl_fixed_conv_N4_feed_constrained,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks; a weight feed per tile (MODE 0)",4x4,"constrained (d in [0, 8), zero points 128/128 on the RTL)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",rtl_sim,300,pass,196608/196608 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,196608,81,12582929,64.0,,,,,,,,,,1168.8,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N4_feed_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N4_feed_constrained; run dir /scratch/hc676/e4_rtl_runs/wl_conv_N4_m0,,previous agent (e4_* dirs)
spmw_conv_N4_resident_constrained,E4,SPMW port,feather_stream_x (weights and commands resident),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks; activations through tile 0's resident weights and program",4x4,"constrained (d in [0, 8), zero points 128/128 on the RTL)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",cosim,300,pass,"SPMW COSIM PASS (3145728/3145728 tokens, 0 errors)",196608,50,786478,4.0,,,,,,,,,,109.1,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N4_resident_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N4_resident_constrained; run dir /scratch/hc676/e4_spmw/wl_conv_N4_x,,previous agent (e4_* dirs)
rtl_fixed_conv_N4_resident_constrained,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks; one feed, activations and programs through tile 0's resident weights (MODE 1)",4x4,"constrained (d in [0, 8), zero points 128/128 on the RTL)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",rtl_sim,300,pass,196608/196608 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,196608,81,786509,4.0,,,,,,,,,,161.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N4_resident_constrained; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N4_resident_constrained; run dir /scratch/hc676/e4_rtl_runs/wl_conv_N4_m1,,previous agent (e4_* dirs)
rtl_fixed_N16_single_tiles_validate,E4,FEATHER RTL,corrected controller,"single tiles: 54 runs = programs ['gemm', 'random'] x patterns ['full', 'small', 'sparse'] x zero points ['0-0', '128-128', '7-5'] x seeds 0/1/2, one tile each, weights resident",16x16,"general (single tiles: small / full-range / sparse patterns, zero points 0, 7/5, 128)","GEMM layout program, random programs",rtl_sim,300,pass,54/54 runs bit-exact vs the RTL-arithmetic model,1,4141,4141,,,,,,,,,,,265.2,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_N16_single_tiles_validate; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_N16_single_tiles_validate; matrix dir /scratch/hc676/e4_rtl_runs/matrix/fixed_N16_validate,,previous agent (e4_* dirs)
rtl_fixed_N4_single_tiles_validate,E4,FEATHER RTL,corrected controller,"single tiles: 162 runs = programs ['conv0', 'conv1', 'conv2', 'conv3', 'gemm', 'random'] x patterns ['full', 'small', 'sparse'] x zero points ['0-0', '128-128', '7-5'] x seeds 0/1/2, one tile each, weights resident",4x4,"general (single tiles: small / full-range / sparse patterns, zero points 0, 7/5, 128)","GEMM layout program, random programs, the four conv programs",rtl_sim,300,pass,162/162 runs bit-exact vs the RTL-arithmetic model,1,81,81,,,,,,,,,,,498.6,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_N4_single_tiles_validate; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_N4_single_tiles_validate; matrix dir /scratch/hc676/e4_rtl_runs/matrix/fixed_N4_validate,,previous agent (e4_* dirs)
rtl_fixed_N8_single_tiles_validate,E4,FEATHER RTL,corrected controller,"single tiles: 54 runs = programs ['gemm', 'random'] x patterns ['full', 'small', 'sparse'] x zero points ['0-0', '128-128', '7-5'] x seeds 0/1/2, one tile each, weights resident",8x8,"general (single tiles: small / full-range / sparse patterns, zero points 0, 7/5, 128)","GEMM layout program, random programs",rtl_sim,300,pass,54/54 runs bit-exact vs the RTL-arithmetic model,1,539,539,,,,,,,,,,,171.1,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_N8_single_tiles_validate; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_N8_single_tiles_validate; matrix dir /scratch/hc676/e4_rtl_runs/matrix/fixed_N8_validate,,previous agent (e4_* dirs)
rtl_orig_N16_single_tiles_orig,E4,FEATHER RTL,shipped controller,"single tiles: 4 runs = programs ['gemm'] x patterns ['small'] x zero points ['0-0', '7-5'] x seeds 0/1/2, one tile each, weights resident",16x16,"general (single tiles: small / full-range / sparse patterns, zero points 0, 7/5, 128)","GEMM layout program, random programs",rtl_sim,300,fail,0/4 runs bit-exact vs the RTL-arithmetic model,1,,,,,,,,,,,,,88.9,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_N16_single_tiles_orig; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_orig_N16_single_tiles_orig; matrix dir /scratch/hc676/e4_rtl_runs/matrix/orig_N16_orig,"4 of 4 single-tile runs fail; e.g. tile_gemm_small_zp0-0_s0: 256 bad elements; every PE file is split across ping/pong (even indices in one buffer, odd in the other; dump per k [ping, pong]): {""0"": [256, 21], ""1"": [39, 256], ""2"": [256, 34], ""3"": [29, 256], ""4"": [256, 33], ""5"": [27, 256], ""6"": [256, 29], ""7"": [30, 256], ""8"": [256, 30], ""9"": [45, 256], ""10"": [256, 36], ""11"": [30, 256], ""12"": [256, 36], ""13"": [32, 256], ""14"": [256, 30], ""15"": [41, 256]}",previous agent (e4_* dirs)
rtl_orig_N4_single_tiles_orig,E4,FEATHER RTL,shipped controller,"single tiles: 4 runs = programs ['gemm'] x patterns ['small'] x zero points ['0-0', '7-5'] x seeds 0/1/2, one tile each, weights resident",4x4,"general (single tiles: small / full-range / sparse patterns, zero points 0, 7/5, 128)","GEMM layout program, random programs, the four conv programs",rtl_sim,300,fail,0/4 runs bit-exact vs the RTL-arithmetic model,1,,,,,,,,,,,,,56.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_N4_single_tiles_orig; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_orig_N4_single_tiles_orig; matrix dir /scratch/hc676/e4_rtl_runs/matrix/orig_N4_orig,"4 of 4 single-tile runs fail; e.g. tile_gemm_small_zp0-0_s0: 15 bad elements; every PE file is split across ping/pong (even indices in one buffer, odd in the other; dump per k [ping, pong]): {""0"": [16, 4], ""1"": [1, 16], ""2"": [16, 2], ""3"": [3, 16]}",previous agent (e4_* dirs)
rtl_orig_N8_single_tiles_orig,E4,FEATHER RTL,shipped controller,"single tiles: 4 runs = programs ['gemm'] x patterns ['small'] x zero points ['0-0', '7-5'] x seeds 0/1/2, one tile each, weights resident",8x8,"general (single tiles: small / full-range / sparse patterns, zero points 0, 7/5, 128)","GEMM layout program, random programs",rtl_sim,300,fail,0/4 runs bit-exact vs the RTL-arithmetic model,1,,,,,,,,,,,,,62.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_N8_single_tiles_orig; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_orig_N8_single_tiles_orig; matrix dir /scratch/hc676/e4_rtl_runs/matrix/orig_N8_orig,"4 of 4 single-tile runs fail; e.g. tile_gemm_small_zp0-0_s0: 63 bad elements; every PE file is split across ping/pong (even indices in one buffer, odd in the other; dump per k [ping, pong]): {""0"": [64, 8], ""1"": [9, 64], ""2"": [64, 7], ""3"": [7, 64], ""4"": [64, 10], ""5"": [6, 64], ""6"": [64, 11], ""7"": [7, 64]}",previous agent (e4_* dirs)
rtl_orig_N4_single_tile_restricted_bench,E4,FEATHER RTL,shipped controller,"single tile (NP=1) and two tiles back to back (NP=2), the record's restricted bench tests/dataflow/spmw/tb_feather_rtl.sv",4x4,"constrained (odd-index weights zeroed, zero points 0)",pass-through BIRRD,rtl_sim,300,pass,"NP=1 PASS (0 PE files wrong, 0 columns wrong); NP=2 PASS",1,97,97,4,,,,,,,,,,,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_N4_single_tile_restricted_bench,,previous agent (e4_* dirs)
rtl_orig_N8_single_tile_restricted_bench,E4,FEATHER RTL,shipped controller,"single tile (NP=1) and two tiles back to back (NP=2), the record's restricted bench tests/dataflow/spmw/tb_feather_rtl.sv",8x8,"constrained (odd-index weights zeroed, zero points 0)",pass-through BIRRD,rtl_sim,300,pass,"NP=1 PASS (0 PE files wrong, 0 columns wrong); NP=2 PASS",1,603,603,8,,,,,,,,,,,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_N8_single_tile_restricted_bench,,previous agent (e4_* dirs)
rtl_orig_N16_single_tile_restricted_bench,E4,FEATHER RTL,shipped controller,"single tile (NP=1) and two tiles back to back (NP=2), the record's restricted bench tests/dataflow/spmw/tb_feather_rtl.sv",16x16,"constrained (odd-index weights zeroed, zero points 0)",pass-through BIRRD,rtl_sim,300,pass,"NP=1 PASS (0 PE files wrong, 0 columns wrong); NP=2 PASS",1,4397,4397,16,,,,,,,,,,,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_N16_single_tile_restricted_bench,,previous agent (e4_* dirs)
rtl_orig_N32_single_tile_restricted_bench,E4,FEATHER RTL,shipped controller,"single tile (NP=1) and two tiles back to back (NP=2), the record's restricted bench tests/dataflow/spmw/tb_feather_rtl.sv",32x32,"constrained (odd-index weights zeroed, zero points 0)",pass-through BIRRD,rtl_sim,300,pass,"NP=1 PASS (0 PE files wrong, 0 columns wrong); NP=2 PASS",1,33871,33871,32,,,,,,,,,,,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_N32_single_tile_restricted_bench,,previous agent (e4_* dirs)
pnr_spmw_feather-stream_N4,E4,SPMW port,"feather_stream (streamed operands, int32 word files), NT=16","feather_stream (streamed operands, int32 word files), NT=16; top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",4x4,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,7225,10646,24,0,0,0.571,0.0,0,87.0,526,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_spmw_feather-stream_N4; stages (s): {'synth': '129.071', 'opt': '7.572', 'place': '211.878', 'physopt': '2.529', 'route': '52.039'}",,this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_spmw_feather_N4,E4,SPMW port,"feather (single tile, resident int8 files)","feather (single tile, resident int8 files); top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",4x4,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,2305,3639,16,0,0,1.2,0.0,0,88.7,434,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_spmw_feather_N4; stages (s): {'synth': '95.559', 'opt': '5.943', 'place': '176.353', 'physopt': '1.211', 'route': '34.797'}",,this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_rtl_fixed_N4,E4,FEATHER RTL,corrected controller,feather_top out of context: N x N NEST + BIRRD + controller + SRAMs (shipped defaults: depth-4 SRAM register arrays),4x4,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,2309,3378,0,0,0,1.174,0.0,0,,530,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_rtl_fixed_N4; stages (s): {'synth': '146.669', 'opt': '10.407', 'place': '280.678', 'physopt': '1.126', 'route': '52.075'}",,previous agent (e4_* dirs)
pnr_rtl_orig_N4,E4,FEATHER RTL,shipped controller,feather_top out of context: N x N NEST + BIRRD + controller + SRAMs (shipped defaults: depth-4 SRAM register arrays),4x4,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,2308,3378,0,0,0,1.1,0.0,0,,371,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_rtl_orig_N4; stages (s): {'synth': '99.434', 'opt': '5.805', 'place': '189.489', 'physopt': '0.691', 'route': '46.361'}",,previous agent (e4_* dirs)
pnr_spmw_feather-stream_N8,E4,SPMW port,"feather_stream (streamed operands, int32 word files), NT=16","feather_stream (streamed operands, int32 word files), NT=16; top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",8x8,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,53060,59624,96,0,0,0.083,0.0,0,88.3,2011,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_spmw_feather-stream_N8; stages (s): {'synth': '279.631', 'opt': '19.892', 'place': '739.463', 'physopt': '13.74', 'route': '794.563'}",,this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_spmw_feather_N8,E4,SPMW port,"feather (single tile, resident int8 files)","feather (single tile, resident int8 files); top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",8x8,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,9974,14989,64,0,0,0.866,0.0,0,98.3,684,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_spmw_feather_N8; stages (s): {'synth': '221.954', 'opt': '9.462', 'place': '225.725', 'physopt': '3.696', 'route': '84.371'}",,this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_rtl_fixed_N8,E4,FEATHER RTL,corrected controller,feather_top out of context: N x N NEST + BIRRD + controller + SRAMs (shipped defaults: depth-4 SRAM register arrays),8x8,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,9694,15332,0,0,0,0.355,0.0,0,,1011,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_rtl_fixed_N8; stages (s): {'synth': '338.36', 'opt': '17.082', 'place': '478.224', 'physopt': '3.27', 'route': '121.592'}",,previous agent (e4_* dirs)
pnr_rtl_orig_N8,E4,FEATHER RTL,shipped controller,feather_top out of context: N x N NEST + BIRRD + controller + SRAMs (shipped defaults: depth-4 SRAM register arrays),8x8,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,9755,15334,0,0,0,0.379,0.0,0,,529,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_rtl_orig_N8; stages (s): {'synth': '197.938', 'opt': '9.258', 'place': '231.563', 'physopt': '2.414', 'route': '50.835'}",,previous agent (e4_* dirs)
pnr_spmw_feather-stream_N16,E4,SPMW port,"feather_stream (streamed operands, int32 word files), NT=16","feather_stream (streamed operands, int32 word files), NT=16; top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",16x16,n/a,n/a,pnr_ooc,300,pass,timing NOT met,,,,,314670,349009,384,0,0,-0.699,-3060.044,0,92.5,11782,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_spmw_feather-stream_N16; stages (s): {'synth': '869.622', 'opt': '92.019', 'place': '1887.892', 'physopt': '291.718', 'route': '8310.082'}",,this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_spmw_feather_N16,E4,SPMW port,"feather (single tile, resident int8 files)","feather (single tile, resident int8 files); top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",16x16,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,31019,49673,256,0,0,0.338,0.0,0,94.6,1608,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_spmw_feather_N16; stages (s): {'synth': '380.809', 'opt': '22.746', 'place': '430.01', 'physopt': '12.755', 'route': '588.581'}",,this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_rtl_fixed_N16,E4,FEATHER RTL,corrected controller,feather_top out of context: N x N NEST + BIRRD + controller + SRAMs (shipped defaults: depth-4 SRAM register arrays),16x16,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,57499,91251,0,0,0,0.12,0.0,0,,1901,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_rtl_fixed_N16; stages (s): {'synth': '809.423', 'opt': '39.819', 'place': '557.762', 'physopt': '15.428', 'route': '397.634'}",,previous agent (e4_* dirs)
pnr_rtl_orig_N16,E4,FEATHER RTL,shipped controller,feather_top out of context: N x N NEST + BIRRD + controller + SRAMs (shipped defaults: depth-4 SRAM register arrays),16x16,n/a,n/a,pnr_ooc,300,pass,timing met,,,,,57595,91259,0,0,0,0.062,0.0,0,,2506,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_rtl_orig_N16; stages (s): {'synth': '758.289', 'opt': '58.788', 'place': '845.865', 'physopt': '28.337', 'route': '739.926'}",,previous agent (e4_* dirs)
pnr_spmw_feather-stream_N32,E4,SPMW port,"feather_stream (streamed operands, int32 word files), NT=16","feather_stream (streamed operands, int32 word files), NT=16; top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",32x32,n/a,n/a,pnr_ooc,300,not_run,,,,,,,,,,,,,,,,,"skipped: a 32x32 SPMW P&R (1024 PE columns, int32 word files) is hours of Vivado for a size outside the package (4/8/16) and was not attempted; the FEATHER RTL 32x32 P&R runs were left to finish",this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_spmw_feather_N32,E4,SPMW port,"feather (single tile, resident int8 files)","feather (single tile, resident int8 files); top spmw_harness (LFSR drivers and sinks around spmw_top, the SPMW flow's standard P&R harness)",32x32,n/a,n/a,pnr_ooc,300,not_run,,,,,,,,,,,,,,,,,"skipped: a 32x32 SPMW P&R (1024 PE columns, int32 word files) is hours of Vivado for a size outside the package (4/8/16) and was not attempted; the FEATHER RTL 32x32 P&R runs were left to finish",this agent (e4b_* dirs) (e4b_pnr_worker.sh)
pnr_rtl_fixed_N32,E4,FEATHER RTL,corrected controller,feather_top out of context: N x N NEST + BIRRD + controller + SRAMs (shipped defaults: depth-4 SRAM register arrays),32x32,n/a,n/a,pnr_ooc,300,pass,timing NOT met,,,,,338694,624270,0,0,0,-0.227,-344.04,0,,12145,"/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/pnr_rtl_fixed_N32; stages (s): {'synth': '4566.67', 'opt': '208.202', 'place': '3119.428', 'physopt': '495.07', 'route': '3435.52'}",,previous agent (e4_* dirs)
